Tahun;Jenis_Pajak;Target;Realisasi;Persentase;Tingkat_Kepatuhan
2024;Pajak PBB;75100000000;72467522586;96;Patuh
2016;Pajak BPHTB;22000000000;30226007617;137;Sangat Patuh
2017;Pajak BPHTB;34000000000;53159664642;156;Sangat Patuh
2018;Pajak BPHTB;42500000000;49288308640;116;Sangat Patuh
2019;Pajak BPHTB;48500000000;51333064430;106;Sangat Patuh
2020;Pajak BPHTB;50000000000;51109762850;102;Sangat Patuh
2021;Pajak BPHTB;69137970118;52470490737;76;Tidak Patuh
2022;Pajak BPHTB;56000000000;60822550105;109;Sangat Patuh
2023;Pajak BPHTB;71100000000;71524635999;101;Sangat Patuh
2024;Pajak BPHTB;85000000000;80327448182;95;Patuh
2016;Retribusi Pelayanan Persampahan Kebersihan;870000000;1001833800;115;Sangat Patuh
2017;Retribusi Pelayanan Persampahan Kebersihan;1320000000;1154973200;87;Cukup Patuh
2018;Retribusi Pelayanan Persampahan Kebersihan;1142000000;1159886440;102;Sangat Patuh
2019;Retribusi Pelayanan Persampahan Kebersihan;210000000;226070000;108;Sangat Patuh
2020;Retribusi Pelayanan Persampahan Kebersihan;43300000;87219000;201;Sangat Patuh
2021;Retribusi Pelayanan Persampahan Kebersihan;97288000;97288000;100;Sangat Patuh
2022;Retribusi Pelayanan Persampahan Kebersihan;1400000000;1288800000;92;Patuh
2023;Retribusi Pelayanan Persampahan Kebersihan;320000000;152122000;48;Tidak Patuh
2024;Retribusi Pelayanan Persampahan Kebersihan;436000000;639264458;147;Sangat Patuh
2016;Retribusi Pelayanan Parkir Tepi Jalan Umum ;1603980000;1568820000;98;Patuh
2017;Retribusi Pelayanan Parkir Tepi Jalan Umum ;1500000000;1415499000;94;Patuh
2018;Retribusi Pelayanan Parkir Tepi Jalan Umum ;1400000000;1405758000;100;Sangat Patuh
2019;Retribusi Pelayanan Parkir Tepi Jalan Umum ;1500000000;1408375000;94;Patuh
2020;Retribusi Pelayanan Parkir Tepi Jalan Umum ;867000000;931466000;107;Sangat Patuh
2021;Retribusi Pelayanan Parkir Tepi Jalan Umum ;787236000;787236000;100;Sangat Patuh
2022;Retribusi Pelayanan Parkir Tepi Jalan Umum ;1500000000;1215800000;81;Cukup Patuh
2023;Retribusi Pelayanan Parkir Tepi Jalan Umum ;1500000000;1310632600;87;Cukup Patuh
2024;Retribusi Pelayanan Parkir Tepi Jalan Umum ;1575000000;1330940000;85;Cukup Patuh
2016;Retribusi Pelayanan Pasar;3750000000;3008894768;80;Cukup Patuh
2017;Retribusi Pelayanan Pasar;3045000000;2981851035;98;Patuh
2018;Retribusi Pelayanan Pasar;2820000000;2801295450;99;Patuh
2019;Retribusi Pelayanan Pasar;4695000000;5019969346;107;Sangat Patuh
2020;Retribusi Pelayanan Pasar;4985000000;4731167731;95;Patuh
2021;Retribusi Pelayanan Pasar;4050469207;4050469207;100;Sangat Patuh
2022;Retribusi Pelayanan Pasar;4650000000;5865677722;126;Sangat Patuh
2023;Retribusi Pelayanan Pasar;6000000000;6822330792;114;Sangat Patuh
2024;Retribusi Pelayanan Pasar;8000000000;9152547009;114;Sangat Patuh
2016;Retribusi Pengujian Kendaraan Bermotor;1190000000;1340039200;113;Sangat Patuh
2017;Retribusi Pengujian Kendaraan Bermotor;1195000000;1340094000;112;Sangat Patuh
2018;Retribusi Pengujian Kendaraan Bermotor;1200000000;1249255000;104;Sangat Patuh
2019;Retribusi Pengujian Kendaraan Bermotor;1195000000;1191121000;100;Patuh
2020;Retribusi Pengujian Kendaraan Bermotor;770000000;794315000;103;Sangat Patuh
2021;Retribusi Pengujian Kendaraan Bermotor;905510000;905510000;100;Sangat Patuh
2022;Retribusi Pengujian Kendaraan Bermotor;1100000000;1225760000;111;Sangat Patuh
2023;Retribusi Pengujian Kendaraan Bermotor;1200000000;1157635000;96;Patuh
2024;Retribusi Pengujian Kendaraan Bermotor;6835000;6835000;100;Sangat Patuh
2016;Retribusi Penyedotan Kakus;27000000;26150000;97;Patuh
2017;Retribusi Penyedotan Kakus;25000000;25150000;101;Sangat Patuh
2018;Retribusi Penyedotan Kakus;27000000;35050000;130;Sangat Patuh
2019;Retribusi Penyedotan Kakus;50000000;51100000;102;Sangat Patuh
2020;Retribusi Penyedotan Kakus;75000000;75950000;101;Sangat Patuh
2021;Retribusi Penyedotan Kakus;99650000;99650000;100;Sangat Patuh
2022;Retribusi Penyedotan Kakus;100000000;125850000;126;Sangat Patuh
2023;Retribusi Penyedotan Kakus;120000000;138150000;115;Sangat Patuh
2024;Retribusi Penyedotan Kakus;125000000;187050000;150;Sangat Patuh
2016;Retribusi Pelayanan Tera Ulang;19130500;9130500;48;Tidak Patuh
2017;Retribusi Pelayanan Tera Ulang;175000000;178409500;102;Sangat Patuh
2018;Retribusi Pelayanan Tera Ulang;400000000;428534500;107;Sangat Patuh
2019;Retribusi Pelayanan Tera Ulang;400000000;380567000;95;Patuh
2020;Retribusi Pelayanan Tera Ulang;400000000;257224000;64;Tidak Patuh
2021;Retribusi Pelayanan Tera Ulang;372592500;372592500;100;Sangat Patuh
2022;Retribusi Pelayanan Tera Ulang;375000000;389454500;104;Sangat Patuh
2023;Retribusi Pelayanan Tera Ulang;408000000;451166000;111;Sangat Patuh
2024;Retribusi Pelayanan Tera Ulang;430000000;455566000;106;Sangat Patuh
2016;Retribusi Pengawasan dan Pengendalian Menara Telekomunikasi;1485000000;1515000000;102;Sangat Patuh
2017;Retribusi Pengawasan dan Pengendalian Menara Telekomunikasi;1200000000;1342458715;112;Sangat Patuh
2018;Retribusi Pengawasan dan Pengendalian Menara Telekomunikasi;1300000000;1443170185;111;Sangat Patuh
2019;Retribusi Pengawasan dan Pengendalian Menara Telekomunikasi;1400000000;1450909500;104;Sangat Patuh
2020;Retribusi Pengawasan dan Pengendalian Menara Telekomunikasi;1550000000;1574069500;102;Sangat Patuh
2021;Retribusi Pengawasan dan Pengendalian Menara Telekomunikasi;1682833700;1682833700;100;Sangat Patuh
2022;Retribusi Pengawasan dan Pengendalian Menara Telekomunikasi;1800000000;1870838000;104;Sangat Patuh
2023;Retribusi Pengawasan dan Pengendalian Menara Telekomunikasi;1900000000;1920872800;101;Sangat Patuh
2024;Retribusi Pengawasan dan Pengendalian Menara Telekomunikasi;1909900000;2020872800;106;Sangat Patuh
2016;Retribusi Pemakaian Kekayaan Daerah;1535585500;2526286350;165;Sangat Patuh
2017;Retribusi Pemakaian Kekayaan Daerah;1465155600;2145153736;146;Sangat Patuh
2018;Retribusi Pemakaian Kekayaan Daerah;4804208000;6167172434;128;Sangat Patuh
